seed,cost_wan,carbon_t,latency_ms,nu_pct,policy
1,184409.14986693935,2020590.0811274012,25.361174624564722,32.815646082766,"[14.522209915986599, 0.13998931083420615, 3.452219450511497, 15.910837028099323, 0.01743827809491442]"
1,183932.91070088051,2016601.299980319,26.96862074060313,32.84260274191778,"[8.803084877966938, 0.0011767351180121113, 9.791370712231938, 11.832341473453342, 0.005377288092612548]"
1,183925.63432547,2016521.747301581,27.040234574927943,32.84394687724568,"[8.089749514066346, 0.0, 11.428032235931571, 10.540158063358566, 0.003150675140689141]"
1,184441.44239050246,2021042.8018914224,25.339889055698738,32.81139010493326,"[15.0, 9.247729851128893e-07, 8.068350649270899, 12.208588064404399, 0.02202474802809553]"
1,184064.12610747776,2017241.883803845,26.27173187426051,32.842269257937,"[11.771257450888648, 0.0004733869761383189, 10.66852368729053, 9.735745342307284, 0.0001230115751476062]"
1,184250.51490115043,2018896.5167083414,25.696706770043694,32.83037462395938,"[13.095446889327834, 0.0, 4.891426406961402, 10.466320970482109, 0.007194707156148512]"
1,184064.12610747776,2017241.883803845,26.27173187426051,32.842269257937,"[11.6209697637021, 0.0004560885104073529, 10.574354143709876, 10.001815314906429, 0.00020726272287101199]"
1,184211.1652029449,2018263.6977937543,25.716013166980517,32.8363528248933,"[13.03328339552042, 1.0185748294385507e-05, 9.2633535714339, 14.268560288405618, 0.0016178752064877938]"
1,183943.6287901103,2016398.5182131878,26.776043547545154,32.847100863813196,"[9.805287508247977, 0.00410974840263361, 12.900520927600969, 12.027706763675923, 2.5498112511510507e-05]"
1,183757.47318781682,2015074.8436807669,27.585332406692352,32.85486013203987,"[5.806121865124085, 0.0, 9.953499263094685, 12.16162779373197, 0.0]"
1,184294.0811782405,2018771.148360448,25.396928105545637,32.83287189542683,"[14.646388721451455, 0.0, 6.885419540774315, 5.963685677769743, 0.0]"
1,183719.40060445305,2014889.1559970719,27.772289019689776,32.85590556301165,"[0.0, 0.0, 0.0, 0.0, 0.0020721350639383474]"
1,183934.98891582974,2016260.6068033362,26.813364004091536,32.848049037549345,"[9.174082334541472, 0.0018438400210233359, 11.428032235931571, 10.540158063358566, 0.0]"
1,183943.6287901103,2016398.5182131878,26.776043547545154,32.847100863813196,"[9.805287508247977, 0.00410974840263361, 12.77678406101721, 12.027321192302816, 9.451849168651344e-05]"
2,183706.10929571567,2014723.0012202696,27.795350103819555,32.857597445461394,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2,184354.57516736473,2019662.1963622724,25.336920961711577,32.8243834755846,"[14.424690061154013, 0.0, 11.041081817662327, 7.949902842885981, 0.008863587290174483]"
2,184354.57516736473,2019662.1963622724,25.336920961711577,32.8243834755846,"[14.369187179569042, 0.0, 11.026292984967897, 7.949902842885981, 0.008863587290174483]"
2,183706.10929571567,2014723.0012202696,27.795350103819555,32.857597445461394,"[0.13042108694508003, 0.0, 0.0, 0.0, 0.0]"
2,184126.77464474787,2017651.7654913734,25.99314240594814,32.840465012608156,"[12.731404025308192, 0.0, 12.100008827729226, 7.811177711174752, 0.0]"
2,184032.72214781377,2017287.741963199,26.55355815939055,32.83995862966482,"[10.95550815131746, 0.0004860825578514204, 12.128531393557234, 11.569872398263486, 0.006108570535981308]"
2,183771.15191369347,2015254.7489036322,27.553887440460482,32.853024917221795,"[5.640670264777648, 0.0022617901367594857, 11.501368217583192, 14.226603651447153, 8.308602749968329e-05]"
2,183925.63432547,2016521.747301581,27.040234574927943,32.84394687724568,"[8.55633958837705, 0.08182570901529872, 12.463478333898259, 11.485524331252428, 0.0038397285145812055]"
2,183992.96663084254,2016668.1323767009,26.564067903582398,32.84564913103394,"[10.29359240469585, 0.0024169877869684, 12.561469909172166, 12.374933090054167, 0.0]"
2,184211.1652029449,2018263.6977937543,25.716013166980517,32.8363528248933,"[13.976180070034339, 0.0, 11.045329093577326, 10.702497857217415, 0.0011201655800773835]"
2,184250.50110125708,2018886.4790032944,25.686776964854033,32.83035382810986,"[13.44145603320874, 0.0, 11.74859816561924, 10.280728121364339, 0.0074206902877731445]"
2,183838.3558836207,2015594.9752811545,27.22357986140146,32.851078219226416,"[7.500814829032655, 0.07763725466243868, 13.80465279987731, 11.733977940993155, 0.0]"
2,184127.25186901618,2017620.134038999,26.01172961943457,32.84022545166978,"[12.750638243216555, 0.0, 12.94371832827639, 6.807028274584721, 0.0012355434205388177]"
2,184321.35117014233,2019214.1298164004,25.390446441960112,32.829263636869356,"[15.0, 0.0, 11.981054343937823, 0.0, 0.004647413551296229]"
2,183735.0112167346,2014933.3122492512,27.65665476610788,32.85542415776837,"[4.419496879138509, 0.0, 11.447261132504867, 13.884358514750641, 5.387285216243533e-05]"
2,183864.6537708311,2016047.3606678853,27.213541819520785,32.84736768549443,"[7.293344003711804, 0.08100657364769358, 12.463478333898259, 12.809751747353992, 0.003759497513072626]"
2,183881.68618144115,2015909.0424380295,27.0472671282829,32.85056696878842,"[8.318086953372994, 0.11127065725468929, 15.01679862919915, 11.844252534937253, 0.00018795503650480714]"
2,184296.7345458925,2018741.9195155054,25.41398691311981,32.83232236642248,"[14.511481780556478, 0.0, 10.582970672549195, 0.1478083787901591, 9.167762168097258e-06]"
